"Model:WTU125-L30V-002"
"operator:172"
"0# CH"
"ID:0"
"12-21 15:59:56  rd sn
12-21 15:59:56  sn,1111111111111111

12-21 16:00:00  rd ver
12-21 16:00:00  224,0114,20171124

12-21 16:15:11  rd m all
12-21 16:15:11  ST,173,x,128504,128504,+00.3469,y,127355,127352,-00.0046,+00.0013

12-21 16:15:12  rd m all
12-21 16:15:12  ST,173,x,128504,128504,+00.3469,y,127355,127352,-00.0046,+00.0013

12-21 16:15:14  rd m all
12-21 16:15:14  ST,173,x,128504,128504,+00.3469,y,127355,127352,-00.0046,+00.0013

12-21 16:15:15  rd m all
12-21 16:15:15  ST,173,x,128504,128504,+00.3469,y,127355,127352,-00.0046,+00.0013

12-21 16:15:17  rd m all
12-21 16:15:17  ST,173,x,128504,128504,+00.3469,y,127355,127352,-00.0046,+00.0013

12-21 16:45:26  rd m all
12-21 16:45:26  ST,179,x,128495,128497,+00.3449,y,127337,127352,-00.0046,+00.0013

12-21 16:45:27  rd m all
12-21 16:45:27  ST,179,x,128496,128498,+00.3452,y,127338,127353,-00.0043,+00.0013

12-21 16:45:29  rd m all
12-21 16:45:29  ST,179,x,128496,128498,+00.3452,y,127338,127353,-00.0043,+00.0013

12-21 16:45:30  rd m all
12-21 16:45:30  ST,179,x,128496,128498,+00.3452,y,127337,127352,-00.0046,+00.0013

12-21 16:45:32  rd m all
12-21 16:45:32  ST,179,x,128496,128498,+00.3452,y,127337,127352,-00.0046,+00.0013

12-21 17:15:41  rd m all
12-21 17:15:41  ST,184,x,128500,128504,+00.3469,y,127367,127397,+00.0083,+00.0013

12-21 17:15:42  rd m all
12-21 17:15:43  ST,184,x,128487,128491,+00.3432,y,127305,127335,-00.0094,+00.0013

12-21 17:15:44  rd m all
12-21 17:15:44  ST,184,x,128487,128491,+00.3432,y,127305,127335,-00.0094,+00.0013

12-21 17:15:45  rd m all
12-21 17:15:46  ST,185,x,128489,128494,+00.3441,y,127339,127373,+00.0014,+00.0013

12-21 17:15:47  rd m all
12-21 17:15:47  ST,184,x,128490,128494,+00.3441,y,127322,127352,-00.0046,+00.0013

12-21 17:45:56  rd m all
12-21 17:45:56  ST,190,x,128495,128502,+00.3464,y,127315,127364,-00.0011,+00.0013

12-21 17:45:57  rd m all
12-21 17:45:58  ST,190,x,128477,128484,+00.3412,y,127315,127364,-00.0011,+00.0013

12-21 17:45:59  rd m all
12-21 17:45:59  ST,190,x,128477,128484,+00.3412,y,127315,127364,-00.0011,+00.0013

12-21 17:46:00  rd m all
12-21 17:46:01  ST,190,x,128483,128490,+00.3429,y,127315,127364,-00.0011,+00.0013

12-21 17:46:02  rd m all
12-21 17:46:02  ST,190,x,128481,128488,+00.3423,y,127315,127364,-00.0011,+00.0013

12-21 18:16:11  rd m all
12-21 18:16:11  ST,195,x,128483,128492,+00.3435,y,127309,127373,+00.0014,+00.0013

12-21 18:16:13  rd m all
12-21 18:16:13  ST,195,x,128483,128492,+00.3435,y,127309,127373,+00.0014,+00.0013

12-21 18:16:14  rd m all
12-21 18:16:14  ST,195,x,128471,128480,+00.3401,y,127309,127373,+00.0014,+00.0013

12-21 18:16:16  rd m all
12-21 18:16:16  ST,195,x,128474,128483,+00.3409,y,127309,127373,+00.0014,+00.0013

12-21 18:16:17  rd m all
12-21 18:16:17  ST,195,x,128474,128483,+00.3409,y,127309,127373,+00.0014,+00.0013

12-21 18:46:26  rd m all
12-21 18:46:26  ST,201,x,128470,128477,+00.3392,y,127399,127474,+00.0304,+00.0013

12-21 18:46:28  rd m all
12-21 18:46:28  ST,201,x,128470,128477,+00.3392,y,127304,127379,+00.0031,+00.0013

12-21 18:46:29  rd m all
12-21 18:46:29  ST,201,x,128470,128477,+00.3392,y,127292,127367,-00.0002,+00.0013

12-21 18:46:31  rd m all
12-21 18:46:31  ST,201,x,128470,128477,+00.3392,y,127292,127367,-00.0002,+00.0013

12-21 18:46:32  rd m all
12-21 18:46:32  ST,201,x,128470,128477,+00.3392,y,127296,127371,+00.0008,+00.0013

12-21 19:16:41  rd m all
12-21 19:16:41  ST,207,x,128452,128456,+00.3332,y,127196,127279,-00.0256,+00.0013

12-21 19:16:43  rd m all
12-21 19:16:43  ST,207,x,128461,128465,+00.3358,y,127283,127366,-00.0005,+00.0013

12-21 19:16:44  rd m all
12-21 19:16:44  ST,207,x,128465,128469,+00.3369,y,127293,127376,+00.0022,+00.0013

12-21 19:16:46  rd m all
12-21 19:16:46  ST,207,x,128465,128469,+00.3369,y,127293,127376,+00.0022,+00.0013

12-21 19:16:47  rd m all
12-21 19:16:47  ST,207,x,128467,128471,+00.3375,y,127296,127379,+00.0031,+00.0013

12-21 19:46:56  rd m all
12-21 19:46:57  ST,213,x,128465,128466,+00.3361,y,127232,127323,-00.0129,+00.0013

12-21 19:46:58  rd m all
12-21 19:46:58  ST,213,x,128466,128467,+00.3363,y,127289,127380,+00.0034,+00.0013

12-21 19:46:59  rd m all
12-21 19:47:00  ST,213,x,128465,128466,+00.3361,y,127291,127382,+00.0040,+00.0013

12-21 19:47:01  rd m all
12-21 19:47:01  ST,213,x,128465,128466,+00.3361,y,127291,127382,+00.0040,+00.0013

12-21 19:47:02  rd m all
12-21 19:47:03  ST,213,x,128465,128466,+00.3361,y,127285,127376,+00.0022,+00.0013

12-21 20:17:11  rd m all
12-21 20:17:12  ST,218,x,128464,128463,+00.3352,y,127221,127319,-00.0140,+00.0013

12-21 20:17:13  rd m all
12-21 20:17:13  ST,218,x,128461,128460,+00.3343,y,127257,127355,-00.0037,+00.0013

12-21 20:17:14  rd m all
12-21 20:17:15  ST,218,x,128466,128465,+00.3358,y,127280,127378,+00.0028,+00.0013

12-21 20:17:16  rd m all
12-21 20:17:16  ST,218,x,128466,128465,+00.3358,y,127280,127378,+00.0028,+00.0013

12-21 20:17:17  rd m all
12-21 20:17:18  ST,218,x,128465,128464,+00.3355,y,127278,127376,+00.0022,+00.0013

12-21 20:47:27  rd m all
12-21 20:47:27  ST,223,x,128421,128418,+00.3223,y,127209,127314,-00.0155,+00.0013

12-21 20:47:28  rd m all
12-21 20:47:28  ST,223,x,128463,128460,+00.3343,y,127272,127377,+00.0025,+00.0013

12-21 20:47:30  rd m all
12-21 20:47:30  ST,223,x,128473,128470,+00.3372,y,127272,127377,+00.0025,+00.0013

12-21 20:47:31  rd m all
12-21 20:47:31  ST,223,x,128473,128470,+00.3372,y,127272,127377,+00.0025,+00.0013

12-21 20:47:33  rd m all
12-21 20:47:33  ST,223,x,128468,128465,+00.3358,y,127274,127379,+00.0031,+00.0013

12-21 21:17:42  rd m all
12-21 21:17:42  ST,229,x,128533,128527,+00.3535,y,127255,127369,+00.0002,+00.0013

12-21 21:17:43  rd m all
12-21 21:17:43  ST,229,x,128480,128474,+00.3384,y,127252,127366,-00.0005,+00.0013

12-21 21:17:45  rd m all
12-21 21:17:45  ST,229,x,128485,128479,+00.3398,y,127268,127382,+00.0040,+00.0013

12-21 21:17:46  rd m all
12-21 21:17:46  ST,229,x,128485,128479,+00.3398,y,127268,127382,+00.0040,+00.0013

12-21 21:17:48  rd m all
12-21 21:17:48  ST,229,x,128485,128479,+00.3398,y,127272,127386,+00.0051,+00.0013

12-21 21:47:57  rd m all
12-21 21:47:57  ST,224,x,128459,128455,+00.3329,y,127292,127399,+00.0088,+00.0013

12-21 21:47:58  rd m all
12-21 21:47:59  ST,224,x,128462,128458,+00.3338,y,127261,127368,+00.0000,+00.0013

12-21 21:48:00  rd m all
12-21 21:48:00  ST,224,x,128467,128463,+00.3352,y,127271,127378,+00.0028,+00.0013

12-21 21:48:01  rd m all
12-21 21:48:02  ST,224,x,128467,128463,+00.3352,y,127271,127378,+00.0028,+00.0013

12-21 21:48:03  rd m all
12-21 21:48:03  ST,224,x,128469,128465,+00.3358,y,127268,127375,+00.0020,+00.0013

12-21 22:18:12  rd m all
12-21 22:18:12  ST,219,x,128463,128462,+00.3349,y,127266,127366,-00.0005,+00.0013

12-21 22:18:13  rd m all
12-21 22:18:14  ST,219,x,128463,128462,+00.3349,y,127266,127366,-00.0005,+00.0013

12-21 22:18:15  rd m all
12-21 22:18:15  ST,219,x,128462,128461,+00.3346,y,127269,127369,+00.0002,+00.0013

12-21 22:18:16  rd m all
12-21 22:18:17  ST,219,x,128462,128461,+00.3346,y,127269,127369,+00.0002,+00.0013

12-21 22:18:18  rd m all
12-21 22:18:18  ST,219,x,128462,128461,+00.3346,y,127269,127369,+00.0002,+00.0013

12-21 22:48:27  rd m all
12-21 22:48:27  ST,213,x,128448,128449,+00.3312,y,127245,127336,-00.0092,+00.0013

12-21 22:48:29  rd m all
12-21 22:48:29  ST,213,x,128448,128449,+00.3312,y,127245,127336,-00.0092,+00.0013

12-21 22:48:30  rd m all
12-21 22:48:30  ST,213,x,128462,128463,+00.3352,y,127266,127357,-00.0031,+00.0013

12-21 22:48:32  rd m all
12-21 22:48:32  ST,213,x,128462,128463,+00.3352,y,127275,127366,-00.0005,+00.0013

12-21 22:48:33  rd m all
12-21 22:48:33  ST,213,x,128462,128463,+00.3352,y,127275,127366,-00.0005,+00.0013

12-21 23:18:42  rd m all
12-21 23:18:42  ST,208,x,128465,128469,+00.3369,y,127300,127384,+00.0045,+00.0013

12-21 23:18:44  rd m all
12-21 23:18:44  ST,208,x,128465,128469,+00.3369,y,127300,127384,+00.0045,+00.0013

12-21 23:18:45  rd m all
12-21 23:18:45  ST,208,x,128461,128465,+00.3358,y,127273,127357,-00.0031,+00.0013

12-21 23:18:47  rd m all
12-21 23:18:47  ST,208,x,128461,128465,+00.3358,y,127273,127357,-00.0031,+00.0013

12-21 23:18:48  rd m all
12-21 23:18:48  ST,208,x,128461,128465,+00.3358,y,127271,127355,-00.0037,+00.0013

12-21 23:48:57  rd m all
12-21 23:48:57  ST,201,x,128468,128475,+00.3386,y,127324,127399,+00.0088,+00.0013

12-21 23:48:59  rd m all
12-21 23:48:59  ST,201,x,128468,128475,+00.3386,y,127267,127342,-00.0074,+00.0013

12-21 23:49:00  rd m all
12-21 23:49:00  ST,201,x,128468,128475,+00.3386,y,127285,127360,-00.0023,+00.0013

12-21 23:49:02  rd m all
12-21 23:49:02  ST,201,x,128468,128475,+00.3386,y,127285,127360,-00.0023,+00.0013

12-21 23:49:03  rd m all
12-21 23:49:03  ST,201,x,128468,128475,+00.3386,y,127287,127362,-00.0017,+00.0013

12-22 00:19:12  rd m all
12-22 00:19:13  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:14  rd m all
12-22 00:19:14  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:15  rd m all
12-22 00:19:16  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:17  rd m all
12-22 00:19:17  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:19:18  rd m all
12-22 00:19:19  ST,196,x,128471,128481,+00.3403,y,127293,127361,-00.0020,+00.0013

12-22 00:49:27  rd m all
12-22 00:49:28  ST,191,x,128476,128483,+00.3409,y,127265,127317,-00.0146,+00.0013

12-22 00:49:29  rd m all
12-22 00:49:29  ST,190,x,128476,128483,+00.3409,y,127312,127361,-00.0020,+00.0013

12-22 00:49:30  rd m all
12-22 00:49:31  ST,190,x,128476,128483,+00.3409,y,127312,127361,-00.0020,+00.0013

12-22 00:49:32  rd m all
12-22 00:49:32  ST,190,x,128476,128483,+00.3409,y,127306,127355,-00.0037,+00.0013

12-22 00:49:33  rd m all
12-22 00:49:34  ST,190,x,128476,128483,+00.3409,y,127303,127352,-00.0046,+00.0013

12-22 01:19:43  rd m all
12-22 01:19:43  ST,185,x,128472,128477,+00.3392,y,127251,127285,-00.0238,+00.0013

12-22 01:19:44  rd m all
12-22 01:19:44  ST,185,x,128484,128489,+00.3426,y,127343,127377,+00.0025,+00.0013

12-22 01:19:46  rd m all
12-22 01:19:46  ST,185,x,128484,128489,+00.3426,y,127343,127377,+00.0025,+00.0013

12-22 01:19:47  rd m all
12-22 01:19:47  ST,185,x,128482,128487,+00.3421,y,127310,127344,-00.0069,+00.0013

12-22 01:19:49  rd m all
12-22 01:19:49  ST,185,x,128483,128488,+00.3423,y,127318,127352,-00.0046,+00.0013

12-22 01:49:58  rd m all
12-22 01:49:58  ST,179,x,128494,128496,+00.3446,y,127306,127321,-00.0135,+00.0013

12-22 01:49:59  rd m all
12-22 01:49:59  ST,179,x,128494,128496,+00.3446,y,127306,127321,-00.0135,+00.0013

12-22 01:50:01  rd m all
12-22 01:50:01  ST,179,x,128492,128494,+00.3441,y,127323,127338,-00.0086,+00.0013

12-22 01:50:02  rd m all
12-22 01:50:02  ST,179,x,128492,128494,+00.3441,y,127323,127338,-00.0086,+00.0013

12-22 01:50:04  rd m all
12-22 01:50:04  ST,179,x,128493,128495,+00.3444,y,127330,127345,-00.0066,+00.0013

12-22 02:20:13  rd m all
12-22 02:20:13  ST,174,x,128498,128498,+00.3452,y,127340,127340,-00.0080,+00.0013

12-22 02:20:14  rd m all
12-22 02:20:15  ST,174,x,128498,128498,+00.3452,y,127340,127340,-00.0080,+00.0013

12-22 02:20:16  rd m all
12-22 02:20:16  ST,174,x,128501,128501,+00.3461,y,127337,127337,-00.0089,+00.0013

12-22 02:20:17  rd m all
