"Model:WTU125-L30V"
"operator:172"
"0# CH"
"ID:0"
"12-20 17:53:11  rd sn
12-20 17:53:11  sn,0000000000000000

12-20 17:53:14  rd ver
12-20 17:53:14  224,0114,20171124

12-20 18:08:25  rd m all
12-20 18:08:26  ST,169,x,127274,127272,+00.3086,y,128702,128701,-00.0031,+00.0013

12-20 18:08:27  rd m all
12-20 18:08:27  ST,169,x,127287,127285,+00.3123,y,128661,128660,-00.0149,+00.0013

12-20 18:08:28  rd m all
12-20 18:08:29  ST,170,x,127281,127280,+00.3109,y,128668,128668,-00.0126,+00.0013

12-20 18:08:30  rd m all
12-20 18:08:30  ST,169,x,127281,127279,+00.3106,y,128668,128667,-00.0129,+00.0013

12-20 18:08:31  rd m all
12-20 18:08:32  ST,170,x,127285,127284,+00.3120,y,128671,128671,-00.0117,+00.0013

12-20 18:38:41  rd m all
12-20 18:38:41  ST,176,x,127280,127286,+00.3126,y,128699,128706,-00.0017,+00.0013

12-20 18:38:42  rd m all
12-20 18:38:42  ST,177,x,127280,127287,+00.3129,y,128699,128707,-00.0014,+00.0013

12-20 18:38:44  rd m all
12-20 18:38:44  ST,176,x,127273,127279,+00.3106,y,128681,128688,-00.0068,+00.0013

12-20 18:38:45  rd m all
12-20 18:38:45  ST,176,x,127273,127279,+00.3106,y,128679,128686,-00.0074,+00.0013

12-20 18:38:47  rd m all
12-20 18:38:47  ST,177,x,127269,127276,+00.3097,y,128674,128682,-00.0086,+00.0013

12-20 19:08:56  rd m all
12-20 19:08:56  ST,182,x,127257,127270,+00.3080,y,128670,128686,-00.0074,+00.0013

12-20 19:08:57  rd m all
12-20 19:08:57  ST,182,x,127256,127269,+00.3077,y,128669,128685,-00.0077,+00.0013

12-20 19:08:59  rd m all
12-20 19:08:59  ST,182,x,127256,127269,+00.3077,y,128669,128685,-00.0077,+00.0013

12-20 19:09:00  rd m all
12-20 19:09:00  ST,182,x,127256,127269,+00.3077,y,128669,128685,-00.0077,+00.0013

12-20 19:09:02  rd m all
12-20 19:09:02  ST,182,x,127256,127269,+00.3077,y,128669,128685,-00.0077,+00.0013

12-20 19:39:11  rd m all
12-20 19:39:11  ST,188,x,127276,127296,+00.3155,y,128657,128681,-00.0089,+00.0013

12-20 19:39:12  rd m all
12-20 19:39:13  ST,188,x,127246,127266,+00.3069,y,128672,128696,-00.0045,+00.0013

12-20 19:39:14  rd m all
12-20 19:39:14  ST,188,x,127246,127266,+00.3069,y,128672,128696,-00.0045,+00.0013

12-20 19:39:15  rd m all
12-20 19:39:16  ST,188,x,127245,127265,+00.3066,y,128665,128689,-00.0066,+00.0013

12-20 19:39:17  rd m all
12-20 19:39:17  ST,188,x,127247,127267,+00.3071,y,128669,128693,-00.0054,+00.0013

12-20 20:09:26  rd m all
12-20 20:09:26  ST,193,x,127230,127257,+00.3043,y,128623,128655,-00.0163,+00.0013

12-20 20:09:27  rd m all
12-20 20:09:28  ST,193,x,127246,127273,+00.3089,y,128694,128726,+00.0040,+00.0013

12-20 20:09:29  rd m all
12-20 20:09:29  ST,193,x,127236,127263,+00.3060,y,128657,128689,-00.0066,+00.0013

12-20 20:09:30  rd m all
12-20 20:09:31  ST,193,x,127236,127263,+00.3060,y,128657,128689,-00.0066,+00.0013

12-20 20:09:32  rd m all
12-20 20:09:32  ST,193,x,127238,127265,+00.3066,y,128657,128689,-00.0066,+00.0013

12-20 20:39:41  rd m all
12-20 20:39:41  ST,199,x,127229,127262,+00.3057,y,128705,128731,+00.0054,+00.0013

12-20 20:39:43  rd m all
12-20 20:39:43  ST,199,x,127229,127262,+00.3057,y,128649,128675,-00.0106,+00.0013

12-20 20:39:44  rd m all
12-20 20:39:44  ST,199,x,127229,127262,+00.3057,y,128650,128676,-00.0103,+00.0013

12-20 20:39:46  rd m all
12-20 20:39:46  ST,199,x,127229,127262,+00.3057,y,128653,128679,-00.0094,+00.0013

12-20 20:39:47  rd m all
12-20 20:39:47  ST,199,x,127229,127262,+00.3057,y,128652,128678,-00.0097,+00.0013

12-20 21:09:56  rd m all
12-20 21:09:56  ST,205,x,127222,127262,+00.3057,y,128542,128563,-00.0428,+00.0013

12-20 21:09:58  rd m all
12-20 21:09:58  ST,205,x,127222,127262,+00.3057,y,128633,128654,-00.0166,+00.0013

12-20 21:09:59  rd m all
12-20 21:09:59  ST,205,x,127221,127261,+00.3054,y,128652,128673,-00.0112,+00.0013

12-20 21:10:01  rd m all
12-20 21:10:01  ST,205,x,127221,127261,+00.3054,y,128652,128673,-00.0112,+00.0013

12-20 21:10:02  rd m all
12-20 21:10:02  ST,205,x,127221,127261,+00.3054,y,128651,128672,-00.0114,+00.0013

12-20 21:40:11  rd m all
12-20 21:40:12  ST,211,x,127217,127263,+00.3060,y,128642,128657,-00.0158,+00.0013

12-20 21:40:13  rd m all
12-20 21:40:13  ST,211,x,127217,127263,+00.3060,y,128642,128657,-00.0158,+00.0013

12-20 21:40:14  rd m all
12-20 21:40:15  ST,211,x,127217,127263,+00.3060,y,128642,128657,-00.0158,+00.0013

12-20 21:40:16  rd m all
12-20 21:40:16  ST,211,x,127217,127263,+00.3060,y,128642,128657,-00.0158,+00.0013

12-20 21:40:17  rd m all
12-20 21:40:18  ST,211,x,127217,127263,+00.3060,y,128642,128657,-00.0158,+00.0013

12-20 22:10:26  rd m all
12-20 22:10:27  ST,217,x,127216,127269,+00.3077,y,128632,128642,-00.0201,+00.0013

12-20 22:10:28  rd m all
12-20 22:10:28  ST,217,x,127216,127269,+00.3077,y,128632,128642,-00.0201,+00.0013

12-20 22:10:29  rd m all
12-20 22:10:30  ST,217,x,127216,127269,+00.3077,y,128631,128641,-00.0203,+00.0013

12-20 22:10:31  rd m all
